track_name,genre,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Mein Koun Houn - Mooroo,pakistani_pop,0.782,0.578,0.417,0.00339,0,0.387,-12.107,1,0.0517,74.523,0.189
Suno - Bayaan,pakistani_pop,0.723,0.542,0.295,6.66e-06,7,0.137,-8.91,1,0.0284,114.993,0.142
Marijuana - Shamoon Ismail,pakistani_pop,0.159,0.686,0.566,0.0221,4,0.104,-11.567,1,0.0496,94.977,0.698
Jo Bhi - Sikandar Ka Mandar,pakistani_pop,0.54,0.3,0.381,0.0,5,0.0856,-16.133,0,0.0613,84.303,0.631
Baaten - Ali Suhail,pakistani_pop,0.551,0.648,0.542,2.8e-05,5,0.132,-10.719,1,0.0327,94.051,0.446
Main - Ali Azmat,pakistani_pop,0.0179,0.365,0.626,2.78e-05,5,0.108,-10.432,1,0.0406,126.793,0.37
Dil Jalay - Remastered - Zishan Mansoor Malang Party,pakistani_pop,0.0321,0.568,0.679,0.00151,6,0.12,-10.43,0,0.0438,150.076,0.808
Sanwal - Mekaal Hasan Band,pakistani_pop,0.245,0.415,0.756,0.0,5,0.198,-6.198,1,0.0374,90.107,0.499
Resistance - Abdullah Siddiqui,pakistani_pop,0.0808,0.562,0.455,0.00247,9,0.0967,-11.862,0,0.045,100.069,0.101
Umeed - Qayaas,pakistani_pop,0.336,0.358,0.646,0.000279,6,0.0782,-5.542,1,0.0635,160.105,0.364
Darwaazay - Maanu,pakistani_pop,0.488,0.761,0.667,0.0,2,0.129,-8.017,0,0.0438,124.984,0.605
Sik Mitraan (From 'Zindagi Tamasha' Original Motion Picture Soundtrack) - Saakin,pakistani_pop,0.65,0.293,0.429,2.17e-05,2,0.226,-9.752,0,0.0293,110.28,0.166
Taare - Shamoon Ismail,pakistani_pop,0.0104,0.674,0.46,1.03e-05,7,0.0745,-9.525,1,0.0284,91.953,0.266
Bolo - Sikandar Ka Mandar,pakistani_pop,0.631,0.293,0.385,0.00647,11,0.109,-9.496,1,0.0298,135.246,0.107
Mahi Janda - SomeWhatSuper,pakistani_pop,0.00295,0.603,0.866,0.0075,11,0.222,-3.782,0,0.242,168.185,0.64
Bekhabar - Bayaan,pakistani_pop,0.0152,0.361,0.715,0.00389,0,0.315,-8.437,1,0.0616,115.418,0.454
Rung - Shamoon Ismail,pakistani_pop,0.0416,0.791,0.424,1.61e-06,6,0.155,-9.757,0,0.0348,106.993,0.331
